MK_NM,MK_LAT,MK_LNG
일산시장,37.6856229,126.7708259
원당시장,37.6560447,126.8373471
능곡시장,37.620944,126.8210835
덕이동패션1번지,37.6930207,126.7557884
원미종합시장,37.4953309,126.7910203
원미부흥시장,37.4926551,126.7900694
역곡북부시장,37.4864151,126.8127118
강남시장,37.5075064,126.7804734
부천중동시장,37.4958449,126.7645374
부천상동시장,37.4927115,126.7641505
청과물시장,37.4815783,126.7779876
부천자유시장,37.484644,126.7765971
소사종합시장,37.4798861,126.7934811
부천한신시장,37.4748298,126.7990333
조공시장,37.4806355,126.8044863
역곡남부시장,37.4830571,126.811059
원종종합시장,37.5186238,126.8058508
원종시장,37.5196983,126.8061021
부천제일시장,37.5279687,126.8089582
원종중앙시장,37.5250654,126.8023172
고강시장,37.5261423,126.8216342
오정시장,37.5242638,126.7862099
신흥시장,37.5161948,126.7710275
덕정시장,37.8428967,127.0635051
가납시장,37.8237049,126.9843227
신산시장,37.8969282,126.9744722
구룡포시장,35.9902741,129.5540604
도구시장,35.9882679,129.4400755
장기시장,35.8915757,129.4914307
흥해시장,36.1106012,129.3483565
신광시장,36.1298903,129.2617439
청하시장,36.1968038,129.3404944
송라시장,36.2282019,129.357997
기계시장,36.0700334,129.2081448
죽장시장,36.161534,129.095439
기북시장,36.1295199,129.1666491
북부시장,36.0466279,129.3689227
남부시장,36.0126294,129.3561744
해도5시장(형산시장),36.0127437,129.3663961
상대종합시장,36.0199576,129.3610327
동해종합시장,36.0258244,129.370943
포항큰동해시장,36.0260371,129.3714876
대해종합시장,36.0187886,129.3685785
송도시장,36.0328137,129.3752433
청림시장,35.9965202,129.4103498
양학시장,36.0271322,129.3498885
포항중앙상가,36.0384099,129.3644766
죽도시장,36.0363478,129.3683915
현대종합시장,36.0258379,129.3667138
포항죽도어시장,36.0366255,129.3686143
죽도농산물시장,36.0363478,129.3683915
중앙시장,36.0231293,129.3554154
서부시장,36.0302813,129.3583515
용흥시장,36.0428353,129.3526549
두호1시장,36.0617225,129.3693689
장량시장,36.0653997,129.3771906
장성종합시장,36.0656263,129.3770321
그린종합시장,36.06729,129.3809664
환호그린빌시장,36.0679945,129.3911697
오천삼광시장,35.978147,129.4123866
영남시장,35.9879017,129.4492225
연일전통시장,35.9963365,129.3487359
한라종합시장,36.0411979,129.3512624
운하송림시장,36.0281583,129.3763138
오천중앙시장,35.9665584,129.414315
오천대영시장,35.9773128,129.4121853
오천용덕시장,35.9735872,129.415416
오천제일상가시장,35.973664,129.4126455
광장시장,36.015988,129.3626353
영포종합상가,36.024736,129.3621588
대도평화시장,36.0176996,129.3640913
대도시장,36.0107479,129.3594687
이동시장,36.025122,129.3416413
항구시장,36.0560371,129.3751421
죽도종합상가,36.0266471,129.3585541
칠성시장,36.0179153,129.3523221
해변종합큰상가,36.0589987,129.3755432
삼경시장,36.0592706,129.3755905
성도시장형상가,36.0589987,129.3755432
장량종합큰상가,36.0684406,129.3813741
장성개발시장,36.0658135,129.3773335
아주종합상가,36.0703573,129.3989003
터미널종합시장,36.0132088,129.3517825
영일만시장,36.0107801,129.3619276
성동시장,35.8453558,129.2163456
감포시장,35.8041069,129.5020454
안강시장,35.9899682,129.2220357
건천시장,35.8483627,129.1045529
외동시장,35.7148148,129.3258979
불국사상가시장,35.7859025,129.3276028
불국시장,35.7763299,129.3011177
양남시장,35.6757001,129.4636815
양북시장,35.7902743,129.4415848
산내시장,35.7579762,129.046381
서면시장,35.8947079,129.0484469
중앙시장,35.8440475,129.2063428
풍산시장,36.5782908,128.5744062
경주중심상가시장,35.8422449,129.2146784
제2경주중심상가시장,35.8421459,129.210672
북부상가시장,35.8535463,129.2075799
북정로중심상가시장,35.8422634,129.2151768
동천시장,35.8553606,129.2232555
황남시장,35.8356653,129.2103053
감호시장,36.1211467,128.129751
평화시장,36.1236504,128.1131188
황금시장,36.1166597,128.1252839
부곡시장,36.125833,128.1042235
중앙시장,36.1190021,128.1260771
구담공설시장,36.5418753,128.4644356
안동구시장,36.5644,128.7286
북문시장,36.568504,128.7313233
서부시장,36.5661162,128.7153098
신평공설시장,36.7426932,128.7746036
온혜공설시장,36.7476014,128.8324597
옹천사설시장,36.6842308,128.7024413
용상공설시장,36.5593643,128.7500622
운산공설시장,36.4740215,128.6589387
임동공설시장,36.568837,128.9194972
정산공설시장,36.6611096,128.885821
중앙신시장,36.5651408,128.7241679
천지공설시장,36.4581451,128.892579
구미중앙시장,36.1308458,128.329784
공단종합시장,36.1206416,128.3715248
현대유통쇼핑센터,36.1297766,128.3299475
금오시장,36.1261099,128.3406027
인동시장,36.1084853,128.4212992
형곡시장프라자,36.1129487,128.334275
형곡중앙시장,36.1064027,128.3365615
구미파크시장,36.1468217,128.3235909
구미산업유통단지(구미공구상가),36.1095461,128.4029133
선산종합시장,36.2395109,128.3009236
해평시장,36.1958487,128.3919694
장천시장,36.1256941,128.4934113
구미종합상가,36.1305119,128.3304387
종합제일시장,36.1303155,128.3296496
제일시장상가,36.1017209,128.3841022
영남상가(대경할인마트),36.1301486,128.3295439
영주공설시장,36.8227258,128.6264848
풍기인삼시장,36.8730095,128.5236134
중앙시장,36.825796,128.6204895
종합시장,36.8133079,128.6221443
소백쇼핑몰,36.8234788,128.6261789
골목시장,36.8246053,128.6224073
풍기중앙시장,36.8705853,128.5282397
선비골전통시장,36.8248816,128.6233172
풍기토종인삼시장,36.8703959,128.5225507
영주문화시장,36.82409,128.623524
풍기인삼홍삼상점가,36.8673525,128.5343213
신영주번개시장,36.8121904,128.6230146
풍기선비골인삼시장,36.886876,128.5406489
소백산인삼시장,36.8846158,128.4803287
금호공설시장,35.9319314,128.8731787
신녕공설시장,36.0420907,128.7874684
중앙시장,36.4137834,128.1606791
은척시장,36.5327327,128.0730577
공성시장,36.2856001,128.0932657
함창시장,36.567749,128.1800613
화령시장,36.4449688,127.9520443
경산공설시장,35.8205182,128.7357574
자인공설시장,35.8164784,128.8229679
압량공설시장,35.8437616,128.7603323
용성공설시장,35.7950652,128.8752714
군위시장,36.2391467,128.5669358
소보시장,36.2555676,128.4790869
우보시장,36.1947587,128.6641862
의흥시장,36.1738363,128.7163072
의성시장,36.3462957,128.6993441
단촌시장,36.4225449,128.6736696
옥산시장,36.401182,128.8023972
금성시장,36.2529342,128.684538
봉양시장,36.2994491,128.5812107
안계시장,36.3844931,128.438325
다인시장,36.450409,128.3553205
신평시장,36.4701417,128.5061197
안평시장,36.3755221,128.5801173
염매시장,36.3503903,128.6962592
청송시장,36.4352352,129.0520944
부남시장,36.3466148,129.0646446
도평시장,36.2891673,129.0163363
화목시장,36.2753344,128.8971741
안덕시장,36.2882665,128.9586196
진보시장,36.5280911,129.0470985
영해시장,36.5403562,129.4074531
남정시장,36.284687,129.3736302
청도시장,35.6437383,128.7454812
풍각시장,35.6407699,128.6192575
동곡시장,35.6920185,128.8910402
이서시장,35.6628106,128.6665015
고령종합시장,35.7268429,128.2664833
성주시장,35.9156028,128.285989
벽진시장,35.9490671,128.2165461
용암시장,35.8369105,128.3365213
왜관시장,35.993812,128.3981579
동명시장,35.9818456,128.5540059
약목시장,36.0328502,128.3666082
예천상설시장,36.6560846,128.4563744
예천중앙시장,36.6567553,128.4560288
용궁시장,36.6073105,128.274625
마전시장,36.5284239,128.3815812
풍양시장,36.5094772,128.2999399
봉화상설시장,36.8899284,128.7358479
춘양시장,36.9371262,128.9139957
울진시장,36.9924234,129.4020204
평해시장,36.7262481,129.442013
흥부시장,37.1036095,129.3751876
매화시장,36.9103258,129.3806121
척산시장,36.797524,129.4516001
죽변시장,37.0589619,129.4223268
후포시장,36.6780018,129.4437633
대인,35.1536091,126.9166153
남광주,35.1403321,126.9218342
양동,35.154299,126.902225
복개상가,35.155037,126.9014245
닭전길,35.1528341,126.8979145
양동수산,35.1537615,126.9030973
건어물,35.1527823,126.9031774
산업용품,35.1508191,126.9069999
양동경열로,35.1539093,126.9011008
화정동서부시장,35.1530489,126.8793306
무등,35.1358785,126.8945562
봉선,35.129052,126.9100002
두암,35.1715782,126.9293899
운암,35.1733733,126.8820051
말바우,35.1730227,126.918957
동부,35.1736745,126.91822
송정매일,35.1362143,126.7944853
송정5일,35.1412977,126.7996011
비아5일,35.2213574,126.8252666
송정역전,35.1370779,126.7926843
우산월곡,35.1713067,126.8096474
우산매일,35.1622569,126.8062738
봉덕시장,35.8455806,128.603071
봉덕신시장,35.8447377,128.6029278
남산시장,35.8435349,128.5979234
남부시장,35.8414001,128.5769144
영선시장,35.8522099,128.5937115
영선신시장,35.851914,128.5951729
대명시장,35.8588624,128.5776429
대명신시장,35.8588624,128.5776429
대덕시장,35.8515149,128.5827658
성명시장,35.8469634,128.5687906
성당시장,35.8504987,128.573025
명덕시장,35.8450369,128.5877947
서남신시장,35.8550868,128.5456099
월배시장,35.8140555,128.5273849
달서시장,37.5174646,126.8964926
와룡시장,35.8558162,128.4993264
대동시장,35.8116708,128.5377861
송현주공시장,35.822749,128.5481817
대곡시장,35.807584,128.5354579
도원시장,35.8075999,128.5367313
상원시장,35.809034,128.5512918
용산종합큰시장,35.8580527,128.5311714
신내당시장,35.8546262,128.5538604
목련시장,35.8699802,128.7046576
공항시장,35.8963704,128.6384388
불로전통시장,35.9101418,128.6419199
송라시장,35.8744787,128.6153073
동서시장,35.886969,128.6338781
현대시장,35.8829036,128.6659805
반야월종합시장,35.8724323,128.7024147
방촌시장,35.8813496,128.6644518
동구시장,35.8740546,128.6395731
효목시장,35.8829178,128.6427302
큰고개종합시장,35.8886323,128.6264543
성동시장,35.8837488,128.6302666
효신시장,35.8744598,128.6326087
동대구역전시장,35.8740648,128.6205205
신암시장,35.8810296,128.6194155
평화시장,35.8830054,128.61926
민락어패류시장,35.1557052,129.1243775
광안어패류시장,35.1555039,129.1246223
남천해변시장,35.1392234,129.1090714
삼익비치A상가시장,35.1439854,129.1143827
삼익비치B상가시장,35.1457268,129.1153694
현대종합상가시장,35.1680699,129.1228894
망미삼성상가시장,35.1690973,129.1018635
망미종합시장,35.1719064,129.1036047
광안종합시장,35.1642327,129.1181995
동방시장,35.1591768,129.1213791
삼익시장,35.1425889,129.1093098
세흥시장,35.1494026,129.1123187
수영건설시장,35.1723499,129.1106422
망미새상가시장,35.1735753,129.1004843
수영로타리시장,35.1674181,129.1142607
민락회타운시장,35.1555433,129.1238226
민락골목시장,35.1570733,129.1242171
수영팔도상가시장,35.1687891,129.1169096
망미중앙시장,35.1757016,129.1069495
광안시장,35.1601827,129.1122912
민락씨랜드,35.156851,129.1261195
남항시장,35.0889115,129.0422603
영도봉래시장,35.0938,129.0447
청학시장,35.0967165,129.0601896
수유시장,37.6307279,127.0226668
숭인시장,37.6131498,127.029455
번동북부시장,37.6362886,127.0303752
수유중앙시장,37.6403364,127.0211758
우이시장,37.6460684,127.0200049
수유북부시장,37.6360847,127.0160571
강북종합시장,37.6423301,127.0252972
동북시장,37.6201527,127.0187184
수유프라자,37.6316986,127.0234675
수유전통시장,37.6151401,127.029571
수유재래시장,37.6151401,127.029571
강북종합전통시장,37.5740047,127.0667011
연희사러가,37.5671437,126.9296508
유진상가,37.5916394,126.943026
백련시장,37.5770026,126.9231015
모래내시장,37.5708125,126.9159979
서중시장,37.5706141,126.9155472
인왕시장,37.5910507,126.9434383
영천시장,37.5708995,126.961082
포방터시장,37.5987052,126.9491349
녹번시장,37.6005972,126.9307952
연서시장,37.6194602,126.9220015
갈현시장,37.6236208,126.9175977
역촌중앙시장,37.6132827,126.9162441
증산종합시장,37.5814652,126.905079
대림시장,37.5867891,126.9176509
양지시장,37.5867891,126.9176509
응암시장,37.5944103,126.9185658
제일시장,37.610554,126.9293057
수일시장,37.5828956,126.8952104
신응암시장,37.5937991,126.9186595
대조시장,37.6091458,126.9263864
대림골목시장,37.5879254,126.9175455
연신내상점가,37.6225586,126.9191144
신정상가시장,35.5419594,129.30907
㈜신정시장,35.5423387,129.3102753
야음상가시장,35.5236148,129.3318648
㈜야음시장,35.524058,129.3313732
울산번개시장,35.5202377,129.336768
수암상가시장,35.5276889,129.321
울산산업공구월드,35.5357862,129.342637
신정평화시장,35.5383356,129.3035454
수암종합시장,35.5278613,129.3206698
정자시장(공설),35.6162994,129.4489649
화봉종합시장,35.5888238,129.3658282
호계공설시장,35.6236169,129.3557406
매곡시장,35.5507702,129.2937308
신전시장,35.5355001,129.3907663
"남창시장(공설)
(3,8일장)",35.4162983,129.2828404
"덕하시장(공설)
(2,7일장)",35.4914358,129.3060446
"곡천시장(공설)
(1,6일장)
",35.4655448,129.2091966
"봉계시장(공설)
(4,9일장)",35.7132786,129.1991168
"언양시장(공설)
(2,7일장)",35.5639128,129.1274075
언양시장,35.563832,129.1259072
언양종합상가시장,35.5634702,129.125909
덕신1차시장,35.4352246,129.3093532
"덕신2차시장(공설)
(5,10일장)",35.4292795,129.3100751
부평종합시장,37.4964971,126.7265349
진흥종합시장,37.4969872,126.7266659
부평깡시장,37.4979175,126.7265486
부평자유시장,37.4947379,126.7257025
십정종합시장,37.4734782,126.6956012
부일종합시장,37.484715,126.7432908
부개종합시장,37.5043074,126.7390465
삼산시장,37.5197508,126.7377888
갈산시장,37.5187757,126.7283443
산곡시장,37.4984663,126.7007839
도깨비시장,37.513398,126.7011998
광양5일,34.971226,127.590263
옥곡5일,34.9885032,127.7002398
진상5일,35.0183284,127.7195623
광양상설,34.9763835,127.5850768
광영상설,34.9614457,127.7203699
중마,34.9382033,127.6988486
여수교동시장,34.7391287,127.7301861
여수수산시장,34.738137,127.7317642
해안로건어물상가시장,34.7393606,127.7342424
중앙시장,34.7404363,127.7325844
중앙선어시장,34.7391511,127.7369791
여수수산물특화시장,34.7364335,127.7298309
서시장,34.7417917,127.7286184
진남시장,34.764261,127.6641562
임실시장,35.6144534,127.2827136
관촌시장,35.6787092,127.2676611
오수시장,35.5384364,127.3266481
신평시장,35.6554558,127.2241237
동문공설시장,33.512066,126.5282481
동문시장,33.5127413,126.5282529
서문공설시장,33.5113809,126.5179095
보성시장,33.5032841,126.5279346
도남시장,33.4964923,126.5289117
신산시장,33.5060342,126.5419816
화북종합시장,33.5226542,126.5658704
연동시장,33.492106,126.4956129
대유대림상가,33.502442,126.5513
성지유니코,33.5179864,126.5211427
제주시민속오일시장,33.497247,126.4748886
동문재래시장,33.5115811,126.5260134
동문수산시장,33.5122439,126.5261747
칠성로상점가,33.5140148,126.526122
중앙로상점가,33.5106405,126.5241728
한림매일시장,33.4165792,126.2642253
한림오일시장,33.4198324,126.2745039
세화민속오일시장,33.5261862,126.8572966
함덕오일시장,33.5403099,126.6679865
동문공설시장,33.512066,126.5282481
동문시장,33.5127413,126.5282529
서문공설시장,33.5113809,126.5179095
보성시장,33.5032841,126.5279346
도남시장,33.4964923,126.5289117
신산시장,33.5060342,126.5419816
화북종합시장,33.5226542,126.5658704
연동시장,33.492106,126.4956129
대유대림상가,33.502442,126.5513
성지유니코,33.5179864,126.5211427
제주시민속오일시장,33.497247,126.4748886
동문재래시장,33.5115811,126.5260134
동문수산시장,33.5122439,126.5261747
칠성로상점가,33.5140148,126.526122
중앙로상점가,33.5106405,126.5241728
한림매일시장,33.4165792,126.2642253
한림오일시장,33.4198324,126.2745039
세화민속오일시장,33.5261862,126.8572966
함덕오일시장,33.5403099,126.6679865
대연시장,35.1356892,129.0884364
용호시장,35.114912,129.1127853
용호삼성시장,35.1238917,129.1105487
동성하이타운시장,35.133482,129.087437
새감만종합시장,35.1163295,129.0817094
대연삼익상가시장,35.1370869,129.1080458
우암시장,35.1265216,129.0708582
못골골목시장,35.1358619,129.0896375
용호골목시장,35.1164079,129.1114602
감만시장,35.1163445,129.0821617
용호1동 골목시장,35.1242102,129.1104604
남광시장,35.1239381,129.0890456
대연중앙시장,35.1352428,129.0956753
신중앙시장,36.327342,127.433618
중앙도매시장,36.32775,127.433348
대전도매시장,36.329754,127.432793
구가양시장,36.346274,127.44318
아리랑프라자,36.349284,127.428648
용운시장,36.327388,127.460954
